M1,2018/02/12,ENGSEL 1/2 BIASA,50,20,unit,
M2,2018/02/13,PIPA MIYA 4 x 1.2,7,2,unit,
M3,2018/02/14,PIPA MIYA 1 X 1,19,5,unit,
M4,2018/02/15,PLAT  4 x 8 x 2 M DOP,9,4,unit,
M5,2018/02/16,GOOD SANSE 9928 (2.8),5,3,unit,
M6,2018/02/17,BUNGA POT BERTANGKAI,17,4,unit,
M7,2018/02/18,BOLA JADI 2,56,14,unit,
M8,2018/02/19,ELBOW 3/4,7,5,unit,
M9,2018/02/20,PIPA SEGI MIYA 15 x 15 x 0.8,49,11,unit,
M10,2018/02/21,TT8841 LEMON YELLOW,16,9,unit,
M11,2018/02/22,TT8810 SILVER CHAMPAGN,8,3,unit,
M12,2018/02/23,ENGSEL 1 BIASA,18,4,unit,
M13,2018/02/24,BOLA JADI 1,42,22,unit,
M14,2018/02/25,TT8840 PURE YELLOW,15,8,unit,
M15,2018/02/26,DOP 1,28,18,unit,
M16,2018/02/27,TT8847 CHINESE RED,7,15,unit,
M17,2018/02/28,PIPA SEGI STAR 30 x 30 x 0.8,30,11,unit,
M18,2018/03/01,BUNGA SAMBUNG 150 x 300 MM,55,25,unit,
M19,2018/03/02,GOOD SANSE 9907,17,5,unit,
M20,2018/03/03,PLAT 430 1 x 2 x 0.8,14,8,unit,
